ABC	Abcam Plc
GMAA	Gama Aviation Plc
GMP	Gabelli Merger Plus+ Trust Plc
GMR	Gaming Realms Plc
GMS	Gulf Marine Services Plc
GNC	Greencore Group Plc
GNS	Genus Plc
GOCO	Gocompare.com Group Plc
GOG	Go-Ahead Group Plc
GOLB	RBS Market Access
GOO2	Leverage Shares Public Limited Company
GOOD	Good Energy Group Plc
GOOE	Leverage Shares Public Limited Company
GPBGI204	Focused Value Select Index
GPCSP002	CSOP Developed All Cap Aerospace & Defen
GPCSP004	CSOP Developed All Cap Ex Korea Brewers
GPH	Global Ports Holding Plc
GPLGHE01	Heitman Prime Real Estate Index
GPM	Golden Prospect Precious Metals Limited
GPOR	Great Portland Estates Plc
GPSS	Golden Prospect Precious Metals Limited
GPSYNT01	Syntax Stratified 1000 Index
GPSYNT02	Syntax Stratified 1000 Net Tax Index
GR1T	Grit Real Estate Income Group Limited
GRA	Grafenia Plc
GRC	Grc International Group Plc
GRG	Greggs Plc
GRI	Grainger Plc
GRID	Gresham House Energy Storage Fund Plc
GRIO	Ground Rents Income Fund Plc
GRIT	Global Resources Investm
GRIW	Ground Rents Income Fund Plc
GRL	Goldstone Resources Limited
GROW	Draper Esprit Plc
GRP	Greencoat Renewables Plc
GRTB	Guaranty Trust Bank Plc
GS2	Leverage Shares Public Limited Company
GSF	Gore Street Energy Storage Fund Plc
GSHT	Retail Charity Bonds Plc
GSK	Glaxosmithkline Plc
GSS	Genesis Emerging Markets Fund Ld
GST	Golden Saint Technologies Limited
GTC	Getech Group Plc
GTE	Gran Tierra Energy Inc.
GTLY	Gateley [Holdings] Plc
GUN	Gunsynd Plc
GUS	Gusbourne Plc
GV1A	Gresham House Renewable Energy Vct 1 Plc
GVC	Gvc Holdings Plc
GVP	Gabelli Value Plus+ Trus
GWI	Globalworth Real Estate
GWMO	Great Western Mining Corporation Plc
GYG	Gyg Plc
GYM	The Gym Group Plc
GYS	Gamesys Group Plc
HALA	Halifax Plc
HAN	Hansa Trust Plc
HAS	Hays Plc
HAST	Henderson Alternative ST
HAT	H&T Group Plc
HAYD	Haydale Graphene Industr
HBRN	Hibernia REIT P.L.C.
HCFT	Highcroft Investments Plc
HCM	Hutchison China Meditech Limited
HDD	Hardide Plc
HDEM	Powershares Glbal Funds Ireland Plc
HDLG	Powershares Glbal Funds
HDT	Holders Technology Plc
HEAD	Headlam Group Plc
HEFT	Henderson European Focus Trust Plc
HEMO	Hemogenyx Pharmaceuticals Plc
HEY1	Heylo Housing Secured Bond Plc
HFD	Halfords Group Plc
HFEL	Henderson Far East Income Limited
HFG	Hilton Food Group Plc
HGM	Highland Gold Mining Ld
HGT	Hg Capital Trust Plc
HHI	Henderson High Income Trust Plc
HHPD	Hon Hai Precision Indust
HHV	Hargreave Hale Aim Vct 1 Plc
HICL	Hicl Infrastructure Company Ld
HIK	Hikma Pharmaceuticals Plc
HILS	Hill & Smith Holdings Plc
HINT	Henderson International Income Trust Plc
HL	HARGREAVES LANSDOWN PLC ORD GBP0.004 WI
HLCL	Helical Bar Plc
HLMA	Halma Plc
HMI	Harvest Minerals Limited
HMLH	Hml Holdings Plc
HMSG	Hms Hydraulic Machines
HMSO	Hammerson Plc
HNE	Henderson Eurotrust Plc
HOC	Hochschild Mining Plc
HON	Honeywell International Incorporated
HONY	Honeycomb Investment Trust Plc
HOT	Henderson Opportunites Trust Plc
HOTC	Hotel Chocolat Group Plc
HOYE	Honye Financial Services Limited
HRI	Herald Investment Trust Plc
HRN	Hornby Plc
HSBA	HSBC Holdings Plc
HSBK	Jsc Halyk Bank
HSD	Hansard Global Plc
HSL	Henderson Smaller Companies Investment T
HSM	Heath [Samuel] & Sons Plc
HSP	Hargreaves Services Plc
HSS	Hss Hire Group Plc
HSTG	Hastings Group Holdings Plc
HSV	Homeserve Plc
HSW	Hostelworld Group Plc
HSX	Hiscox Ltd
HTCF	Highbridge Tactical Credit Fund Ltd.
HTG	Hunting Plc
HTOP	Retail Charity Bonds Plc
HTSC	Huatai Securities Co. Ltd.
HTWS	Helios Towers Plc
HUM	Hummingbird Resources Plc
HUNT	Hunters Property Plc
HUR	Hurricane Energy Plc
HUW	Hampden Underwriting Plc
HVPD	Harbourvest Global Private Equity Limite
HVT	Heavitree Brewery Plc
HWDN	Howden Joinery Group Plc
HWG	Harworth Group Plc
HWSL	Hadrian's Wall Secured Investments Limit
HYDG	Hydrogen Group Plc
HYDR	Jsc Rushydro
HYFA	Powershares Glbal Funds Ireland Plc
HYG	Hygea Vct Plc
HYR	Hydrodec Group Plc
HYST	Lyxor Index Fund
HYUD	Hyundai Motor Company
HYVE	Hyve Group Plc
HZD	Horizon Discovery Group
HZM	Horizonte Minerals Plc
I3E	I3 Energy Plc
IAG	International Consolidated Airlines Grou
IAT	Invesco Asia Trust Plc
IBM	International Business Machines Corporat
IBPO	Ienergizer Ld
IBST	Ibstock Plc
IBT	International Biotechnology Trust Plc
ICG2	Intermediate Capital Gro
ICGC	Irish Continental Group Plc
ICGT	Icg Enterprise Trust Plc
ICON	Iconic Labs Plc
ICOW	Pacer Developed Markets International CA
ICP	Intermediate Capital Group Plc
IDE	Ide Group Holdings Plc
IDEA	Ideagen Plc
IDH	Immunodiagnostic Systems Holdings Plc
IDHC	Integrated Diagnostics H
IDOX	Idox Plc
IDP	Innovaderma Plc
IEM	Impax Environmental Markets Plc
IES	
IGAS	Igas Energy Plc
IGC	India Capital Growth Fund Limited
IGE	Image Scan Holdings Plc
IGG	IG Group Holdings Plc
IGP	Intercede Group Plc
IGR	International Greetings Plc
IGV	Income & Growth Vct [The] Plc
IHC	Inspiration Healthcare G
IHG	Intercontinental Hotels Group Plc
IHP	Integrafin Holdings Plc
IHR	Impact Healthcare REIT Plc
III	3I Group Plc
IIMFL	Russell 1000 Invesco Dynamic Multifactor
IIMFS	Russell 2000 Invesco Dynamic Multifactor
IIP	Infrastructure India Plc
IIT	Independent Investment Trust Plc
IKA	Ilika Plc
IL0A	Permanent Tsb Group Hold
IMB	Imperial Brands
IMC	Imc Exploration Group Plc
IME	Immedia Group Plc
IMI	IMI Plc
IMM	Immupharma Plc
IMMO	Immotion Group Plc
IMO	Imimobile Plc
INCE	Ince Group Plc (The)
INCH	Inchcape Plc
IND	Indigovision Group Plc
INDI	Indus Gas Limited
INDV	Indivior Plc
INF	Informa Plc
INFA	Infrastrata Plc
ING	Ingenta Plc
INHC	Induction Healthcare Group Plc
INL	Inland Homes Plc
INLZ	Inland Zdp Plc
INPP	International Public Partnerships Ld
INRL	Lyxor International Asse
INS	Instem Plc
INSE	Inspired Energy Plc
INSP	Inspirit Energy Holdings
INTO	Intosol Holdings Plc
INTU	Intu Properties Plc
INV	Investment Company Plc
INVP	Investec Plc
INX	I-Nexus Global Plc
IOF	Iofina Plc
IOG	Independent Oil & Gas Pl
IOM	Iomart Group Plc
IPE	Invesco Enhanced Income Ltd.
IPEL	Impellam Group Plc
IPF	International Personal Finance Plc
IPO	Ip Group Plc
IPOUSA	Renaissance IPO Index
IPOXUS	Ipox US Index
IPOXUSN	Ipox US Net Return Index
IPU	Invesco Perpetual UK Smaller Companies I
IPX	Impax Asset Management Group Plc
IQAI	Iq-Ai Limited
IQE	Iqe Plc
IQG	Iqgeo Group Plc
IRON	Ironveld Plc
IRR	Ironridge Resources Limi
ISPY	Go Ucits ETF Solutions Plc
ITM	Itm Power Plc
ITRK	Intertek Group Plc
ITV	Itv Plc
ITX	Itaconix Plc
IVI	Invesco Income Growth Trust Plc
IVPB	Invesco Perpetual Select Trust Plc
IWG	Iwg Plc
IXI	Ixico Plc
JAM	Jpmorgan American Investment Trust Plc
JAN	Jangada Mines Plc
JAR	Jardine Matheson Holding
JARA	Jpmorgan Global Core Real Assets Limited
JAY	Bluejay Mining Plc
JCH	Jpmorgan Claverhouse Investment Trust Pl
JD	JD Sports Fashion
JDG	Judges Scientific Plc
JDIV	JP Morgan US Dividend Index
JDS	Jardine Strategic Holdin
JDW	Wetherspoon [ J.D.] Plc
JEFI	Jupiter Emerging & Frontier Income Trust
JEL	Jersey Electricity Plc
JEMI	Jpmorgan Global Emerging Markets Income
JEO	Jupiter European Opportunities Trust Plc
JESC	Jpmorgan Euro Small Co. Trust Plc
JETG	Jpmorgan European Investment Trust Plc
JFJ	Jpmorgan Japanese Investment Trust Plc
JGC	Jupiter Green Investment Trust Plc
JHD	James Halstead Plc
JHEF	Fundlogic Alternatives Plc
JII	Jpmorgan Indian Investment Trust Plc
JIM	Jarvis Securities Plc
JKX	Jkx Oil & Gas Plc
JLEN	John Laing Environmental
JLG	John Laing Group Plc
JLH	John Lewis of Hungerford Plc
JLP	Jubilee Platinum Plc
JMAT	Johnson Matthey Plc
JMF	Jpmorgan Mid Capital Investment Trust Pl
JMG	Jpmorgan Emerging Markets Investment Tru
JMI	Jpmorgan Smaller Companies Investment TR
JNEO	Journeo Plc
JOG	Jersey Oil and Gas Plc
JOUL	Joules Group Plc
JP2E	Leverage Shares Public Limited Company
JPB	Jpmorgan Brazil Investment Trust Plc
JPE	Jpmorgan Elect Plc
JPEL	J.P. Morgan Private Equity Ld
JPM2	Leverage Shares Public Limited Company
JPNL	Lyxor International Asse
JPS	Jpmorgan Japan Smaller CO Tst Plc
JQUA	JP Morgan US Quality Factor Index
JRS	Jpmorgan Russian Securities Plc
JSE	Jadestone Energy Inc
JSG	Johnson Service Group Plc
JTC	Jtc Plc
JUKG	Jupiter UK Growth Investment Trust Plc
JUP	Jupiter Fund Management Plc
JUS	Jupiter US Smaller Compa
JUSC	Jpmorgan US Smaller Co. Inv Tst Plc
JUST	Just Group Plc
JVAL	JP Morgan US Value Factor Index
JWNG	Jaywing Plc
K3C	K3 Capital Group Plc
KAP	Joint Stock Company National Atomic Comp
KAPE	Kape Technologies Plc
KAT	Katoro Gold Plc
KAV	Kavango Resources Plc
KAY	Kings Arms Yard Vct Plc
KAZ	Kaz Minerals Plc
KBT	K3 Business Technology Group Plc
KCEL	Kcell Joint Stock Compan
KCR	K&C REIT Plc
KCT	Kin and Carta Plc
KDNC	Cadence Minerals Plc
KDR	Karelian Diamond Resources Plc
KEFI	Kefi Minerals Plc
KETL	Strix Group Plc
KEYS	Keystone Law Group Plc
KGF	Kingfisher Plc
KGH	Knights Group Holdings Plc
KGP	Kingspan Group Plc
KIBO	Kibo Mining Plc
KIE	Kier Group Plc
KIT	Keystone Investment Trust Plc
KLR	Keller Group Plc
KMK	Kromek Group Plc
KMR	Kenmare Resources Plc
KNM	Konami Corporation
KNOS	Kainos Group Plc
KOD	Kodal Minerals Plc
KOS	Kosmos Energy Ltd
KP2	Kore Potash Plc
KRM	Krm22 Plc
KRPZ	Kropz Plc
KRS	Keras Resources Plc
KRW	Lyxor International Asse
KWG	Kingswood Holdings Limited
KWS	Keywords Studios Plc
KYGA	Kerry Group Plc
KZG	Kazera Global Plc
L6EW	Ossiam Lux
LAM	Lamprell Plc
LAND	Land Securities Group Plc
LAS	London & Associated Properties Plc
LBE	Longboat Energy Plc
LBOW	Icg-Longbow Senior Secur
LCPE	Ossiam Lux
LDCU	Pimco Fixed Income Sourc
LDSG	Leeds Group Plc
LEGR	First Trust Global Funds Public Limited
LEK	Lekoil Limited
LEMD	Lyxor International Asse
LEMV	Ossiam Lux
LFI	London Finance & Investment Group Plc
LGAG	Legal & General Ucits ETF Public Limited
LGCF	Source Markets Public Limited Company
LGEG	Legal & General Ucits ETF Public Limited
LGEN	Legal & General Group Plc
LGEU	Legal & General Ucits ETF Public Limited
LGLD	Lg Electronics Inc
LGRS	Loungers Plc
LGUG	Legal & General Ucits ETF Public Limited
LID	Lidco Group Plc
LIO	Liontrust Asset Management Plc
LIT	Litigation Capital Management Limited
LIV	Livermore Investments Group Limited
LKOD	Lukoil [Oao]
LLD5	Lloyds Banking Group Plc
LME	Limitless Earth Plc
LMMV	Ossiam Lux
LMP	Londonmetric Property Pl
LMS	Lms Capital Plc
LND	Landore Resources Limited
LNTA	Lenta Ltd
LOGP	Lansdowne Oil & Gas Plc
LOK	Lok'n Store Group Plc
LOOK	Lookers Plc
LOOP	Loopup Group Plc
LPA	Lpa Group Plc
LQQ3	Boost Issuer Public Limited Company
LRE	Lancashire Holdings Limited
LSAA	Life Settlement Assets Plc
LSAI	Location Sciences Group Plc
LSC	London Security Plc
LSE	London Stock Exchange Group Plc
LSE1	London Stock Exchange Gr
LSL	Lsl Property Services Plc
LSRG	Ojsc Lsr Group
LTG	Learning Technologies Gr
LTHM	Latham [James] Plc
LTI	Lindsell Train Investment Trust Plc
LTMU	Lyxor International Asse
LTOD	Larsen and Toubro Limite
LUCE	Luceco Plc
LUK2	Go Ucits ETF Solutions P
LUMV	Ossiam Lux
LVCG	Live Company Group Plc
LWDB	Law Debenture Corporation Plc
LWI	Lowland Investment Company Plc
LWMV	Ossiam Lux
LXI	Lxi REIT Plc
M9SV	Market Access
MAB	Mitchells & Butlers Plc
MAB1	Mortgage Advice Bureau [
MAC	Marechale Capital Plc
MACF	Macfarlane Group Plc
MAFL	Mineral & Financial Investment Ltd
MAI	Maintel Holdings Plc
MAIL	Mail.Ru Group Limited
MAJE	Majedie Investments Plc
MANO	Manolete Partners Plc
MARS	Marston's Plc
MATD	Petro Matad Limited
MATE	Jpmorgan Multi-Asset Trust Plc
MAV4	Maven Income & Growth Vc
MAVD	Magyar Telekom Telecommu
MBH	Michelmersh Brick Holdings Plc
MBO	Mobilityone Limited
MBT	Mobile Tornado Group Plc
MCAP	Retail Charity Bonds Plc
MCB	Mcbride Plc
MCKS	Mckay Securities Plc
MCL	Morses Club Plc
MCLS	Mccoll's Retail Group Pl
MCM	Mc Mining Ltd
MCON	Mincon Group Plc
MCP2	Retail Charity Bonds Plc
MCRO	Micro Focus International Plc
MCS	Mccarthy & Stone Plc
MCT	Middlefield Canadian Income Pcc
MDC	Mediclinic International Plc
MDMG	MD Medical Group Investm
MDZ	Mediazest Plc
MED	Medaphor Group Plc
MEL	Mitsubishi Electric Corporation
MER	Mears Group Plc
MERC	Mercia Asset Management Plc
MERI	Merian Chrysalis Investment Company Limi
META	Boost Issuer Public Limited Company
MEUD	Lyxor Index Fund
MEUG	Lyxor International Asse
MFDD	Lyxor Index Fund
MFX	Manx Financial Group Plc
MGAM	Morgan Crucible CO Plc
MGCI	M&G Credit Income Investment Trust Plc
MGGT	Meggitt Plc
MGNS	Morgan Sindall Group Plc
MGNT	Ojsc Magnit
MGP	Medica Group Plc
MGTU	Lyxor International Asse
MHID	Mahindra & Mahindra Limi
MHM	Marsh & Mclennan Cos. Inc
MHN	Menhaden Capital Plc
MHPC	Mhp S.A
MIBX	Lyxor International Asse
MIDW	Midwich Group Plc
MIG	Mobeus Income & Growth 2 Vct Plc
MIG1	Maven Income & Growth Vc
MIG4	Mobeus Income & Growth 4
MIG5	Maven Income and Growth
MIGO	Miton Global Opportunities Plc
MIL	Myanmar Investments Inte
MIN	Minoan Group Plc
MIND	Mind Gym Plc
MINI	Miton UK Microcap Trust
MIRA	Mirada Plc
MIRI	Mirriad Advertising Plc
MIX	Mobeus Income & Growth Vct Plc
MJH	Mj Hudson Group Plc
MKA	Mkango Resources Ltd
MKS	Marks and Spencer Group Plc
MKUW	Invesco Markets Plc
MLPD	Source Markets Public Li
MLPI	Go Ucits ETF Solutions P
MLPP	Source Markets Public Li
MLPX	Go Ucits ETF Solutions P
MLVN	Malvern International Plc
MMC	Management Consulting Group Plc
MMH	Marshall Motor Holdings
MMIT	Mobius Investment Trust Plc
MMK	Ojsc Magnitogorsk Iron &
MMM	Minnesotta M&M
MMX	Minds + Machines Group L
MNDI	Mondi Plc
MNG	M&G Plc
MNKS	Monks Investment Trust Plc
MNL	Manchester & London Investment Trust Plc
MNO	Maestrano Group Plc
MNOD	Mmc Norilsk Nickel
MNP	Martin Currie Global Portfolio Trust Plc
MNRG	Metalnrg Plc
MNTN	The Schiehallion Fund Limited
MNZS	Menzies[John] Plc
MOGP	Mountfield Group Plc
MONY	Moneysupermarket.com Group Plc
MOS	Mobile Streams Plc
MOSB	Moss Bros Group Plc
MOTR	Motorpoint Group Plc
MPAC	Mpac Group Plc
MPE	M.P. Evans Group Plc
MPH	Mereo Biopharma Group Limited
MPL	Mercantile Ports & Logistics Limited
MPLF	Marble Point Loan Financing Limited
MPO	Macau Property Opportunities Fund Limite
MRC	Mercantile Investment Trust [The] Plc
MRCH	Merchants Trust Plc
MRL	Marlowe Holdings Limited
MRO	Melrose Plc
MRW	Morrison [Wm] Supermarkets Plc
MSAP	Invesco Markets Plc
MSED	Lyxor Index Fund
MSEU	Lyxor International Asse
MSF2	Leverage Shares Public Limited Company
MSI	MS International Plc
MSLH	Marshalls Plc
MSMN	Mosman Oil and Gas Limit
MSYS	Microsaic Systems Plc
MTC	Mothercare Plc
MTE	Montanaro European Smaller C. Tst Plc
MTFB	Motif Bio Plc
MTMY	Matomy Media Group Ltd
MTO	Mitie Group Plc
MTPH	Midatech Pharma Plc
MTR	Metal Tiger Plc
MTRO	Metro Bank Plc
MTU	Montanaro UK Smaller Companies Investmen
MTVW	Mountview Estates Plc
MTW	Mattioli Woods Plc
MUL	Mulberry Group Plc
MUT	Murray Income Trust Plc
MVI	Marwyn Value Investors Limited
MWE	Mti Wireless Edge Ltd
MWG	Modern Water Plc
MWY	Mid-Wynd International Investment Trust
MXCT	Maxcyte Inc
MXEU	Source Markets Public Li
MXFS	Source Markets Public Limited Company
MXWS	Source Markets Public Li
MYI	Murray International Trust Plc
MYSL	Mysale Group Plc
MYX	Mycelx Technologies Corporation
N098	Namibia Local Index
N099	Namibia Overall Index
N135	Namibia Chemicals Index
N177	Namibia Africa Minning I
N272	Namibia Africa Genaral I
N353	Namibia Beverages Index
N357	Namibia Africa Food Prod
N400	Source Markets Public Li
N453	Ftse/Namibian Overall In
N4P	N4 Pharma Plc
N4US	Source Markets Public Li
N510	Namibia Basic Materials
N520	Namibia Africa Industria
N530	Namibia Consumer Goods I
N533	Namibia Africa Food&Drug
N537	Namibia Africa General R
N540	Ftse/Namibian Overall In
N550	Namibia Consumer Service
N580	Namibia Africa Financial
N835	Namibia Banks Index
N853	Namibia Africa Nonlife I
N857	Namibia Africa Life Insu
N863	Namibia Real Estate Inve
N867	Ftse/Namibian Overall In
N877	Namibia Africa Genaral F
NAH	Nahl Group Plc
NAIT	North American Income Trust [The] Plc
NAK	Nakama Group Plc
NANO	Nanoco Group Plc
NAR	Northamber Plc
NAS	North Atlantic Smaller Companies Investm
NASD	Lyxor International Asset Management
NBB	Norman Broadbent Plc
NBDG	Nb Distressed Debt Inves
NBI	Northbridge Industrial Services Plc
NBLS	Nb Global Floating Rate Income Fund Limi
NBPE	Nb Private Equity Partners Limited
NBS	Nationwide Building Society
NCC	Ncc Group Plc
NCCL	Ncondezi Coal Company Limited
NCSP	Public Joint Stock Compa
NCYF	New City High Yield Fund Limited
NCYT	Novacyt S.A.
NESF	Nextenergy Solar Fund Li
NET	Netcall Plc
NETW	Network International Holdings Plc
NEX	National Express Group Plc
NEXS	Nexus Infrastructure Plc
NFC	Next Fifteen Communications Group Plc
NFL2	Leverage Shares Public Limited Company
NFX	Nuformix Plc
NG	NATIONAL GRID TRACO ord gbp0.10
NG1Q	National Grid Plc
NICL	Nichols Plc
NJXE	Nomura Next Funds Irelan
NLB	Nova Ljubljanska Banka D.D. Ljubljana
NLMK	Ojsc Novolipetsk Steel
NMCN	Nmcn Plc
NMXDEN	Ftse350Domexpntind
NOG	Nostrum Oil & Gas Plc
NPSN	Naspers Limited
NRR	Newriver Retail Limited
NSCI	Netscientific Plc
NSF	Non-Standard Finance Plc
NSH	Norish Plc
NSI	New Star Investment Trust Plc
NTBR	Northern Bear Plc
NTEA	Northern Electric Plc
NTN	Northern 3 Vct Plc
NTOG	Nostra Terra Oil and Gas Company Plc
NTQ	Enteq Upstream Plc
NTV	Northern 2 Vct Plc
NUC	Nucleus Financial Group Plc
NUM	Numis Corporation Plc
NVD2	Leverage Shares Public Limited Company
NVT	Northern Venture Trust Plc
NVTK	Oao Novatek
NWBD	National Westminster Bank Plc
NWF	Nwf Group Plc
NWT	Newmark Security Plc
NXKE	Nomura Next Funds Irelan
NXR	Norcros Plc
NXT	Next Plc
OAP3	Octopus Apollo Vct Plc
OBC	Online Blockchain Plc
OBD	Oxford Biodynamics Plc
OCDO	Ocado Group Plc
OCI	Oakley Capital Investments Limited
OCN	Ocean Wilsons [Holdings] Ld
OCT	Octagonal Plc
ODX	Omega Diagnostics Group Plc
OEX	Oilex Ld
OGLD	Deutsche Boerse Commodities Gmbh
OGN	Origin Enterprises Plc
OGZD	Oao Gazprom
OIG	Oryx International Growth Fund Ltd
OIH	Orascom Investment Holding S.A.E
OIL3	UBS Ag
OIT	Odyssean Investment Trust Plc
OKEY	O'Key Group S.A.
OKYO	Okyo Pharma Limited
OLY3	Lyxor International Asset Management
OMG	Omg Plc
OMI	Orosur Mining Inc
OMIP	One Media Ip Group Plc
OMU	Old Mutual Ltd
ONC	Oncimmune Holdings Plc
OOA	Octopus Aim Vct Plc
OOUT	Ocean Outdoor Limited
OPG	Opg Power Ventures Plc
OPM	1Pm Plc
OPP	Origo Partners Plc
OPTI	Optibiotix Health Plc
ORCH	Orchard Funding Group Pl
ORCP	Oracle Coalfields Plc
ORIT	Octopus Renewables Infrastructure Trust
ORM	Ormonde Mining Plc
ORPH	Open Orphan Plc
ORR	Oriole Resources Plc
OSB	Onesavings Bank Plc
OSEC	Octopus Second Aim Vct Plc
OSI	Osirium Technologies Plc
OTB	On The Beach Group Plc
OTMP	Onthemarket Plc
OTT	Oxford Technology 3 Venture Capital Trus
OTV2	Octopus Titan Vct Plc
OVB	Ovoca Bio Plc
OXA1	DB Etc Plc
OXB	Oxford Biomedica Plc
OXDX	DB X-Trackers
OXF	Oxford Technology 4 Venture Capital Trus
OXIG	Oxford Instruments Plc
OXT	Oxford Technology Venture Capital Trust
PAC	Pacific Assets Trust Plc
PAF	Pan African Resources Plc
PAG	Paragon Group of Companies Plc
PAG1	Paragon Group of Compani
PAGE	Pagegroup Plc
PAL	Equatorial Palm Oil Plc
PALM	Asian Plantations Limited
PANR	Pantheon Resources Plc
PAT	Panthera Resources Plc
PAY	Paypoint Plc
PBLT	Toc Property Backed Lending Trust Plc
PCA	Palace Capital Plc
PCF	Private & Commercial Finance Group Plc
PCFT	Polar Capital Global Fin
PCGH	Polar Cap Glbl Health Gwth&Inc Tst Plc
PCIP	Pci-Pal Plc
PCT	Polar Capital Technology Trust Plc
PCTN	Picton Property Income Ld
PDG	Pendragon Plc
PDL	Petra Diamonds Limited
PDZ	Prairie Mining Limited
PEB	Pebble Beach Systems Group Plc
PEBB	The Pebble Group Plc
PEG	Petards Group Plc
PEMD	Source Markets II Plc
PEMV	Pembroke Vct Plc
PEN	Pennant International Group Plc
PERE	Pembridge Resources Plc
PET	Petrel Resources Plc
PETB	Omv Petrom S.A.
PETS	Pets At Home Group Plc
PEY	Princess Private Equity Holding Limited
PFC	Petrofac Limited
PFD	Premier Foods Plc
PFG	Provident Financial Plc
PFP	Pathfinder Minerals Plc
PFP2	Places For People Finance Plc
PGH	Personal Group Holdings Plc
PGHZ	Pcgh Zdp Plc
PGIT	Premier Global Infrastructure Trust Plc
PGIZ	Pgit Securities 2020 Plc
PGOO	Proven Growth & Income Vct Plc
PGR	Phoenix Global Resources Plc
PHAR	Pharos Energy Plc
PHC	Plant Health Care Plc
PHD	Proactis Holdings Plc
PHE	Powerhouse Energy Group Plc
PHEF	Fundlogic Alternatives Plc
PHI	Pacific Horizon Investment Trust Plc
PHNX	Phoenix Group Holdings
PHOR	Ojsc Phosagro
PHP	Primary Health Properties Plc
PHSC	Phsc Plc
PHTM	Photo-Me International Plc
PIER	Brighton Pier Group Plc [The]
PIEXL	Pacer International Export Leaders Index
PIEXLN	Pacer International Export Leaders Net T
PIN	Pantheon International Participations Pl
PIP	Pipehawk Plc
PIRI	Pires Investments Plc
PLAZ	Plaza Centers N.V.
PLI	Perpetual Income and Growth Investment T
PLP	Polypipe Group Plc
PLUS	Plus500 Ltd
PLZA	Public Joint Stock Company Polyus
PMG	Parkmead Group [The] Plc
PMI	Premier Miton Group Plc
PMO	Premier Oil Plc
PMP	Portmeirion Group Plc
PNL	Personal Assets Trust Plc
PNN	Pennon Group Plc
PNS	Panther Securities Plc
POBA	Nationwide Building Society
POG	Petropavlovsk Plc
POL	Polo Resources Limited
POLR	Polar Capital Holdings Plc
POLX	Polarean Imaging Plc
POLY	Polymetal International Plc
POS	Plexus Holdings Plc
POW	Power Metal Resources Plc
PPC	President Petroleum Company Plc
PPG	Plutus Powergen Plc
PPH	Pphe Hotel Group Limited
PPIX	Prophotonix Limited
PPP	Pennpetro Energy Plc
PPS	Proton Power Systems Plc
PQVG	Powershares Glbal Funds Ireland Plc
PRAC	Invesco Markets II Plc
PRD	Predator Oil & Gas Holdings Plc
PREM	Premier African Minerals
PRES	Pressure Technologies Plc
PRFD	Source Markets II Plc
PRFP	Invesco Markets II Plc
PRIM	Primorus Investments Plc
PRM	Proteome Sciences Plc
PRP	Prime People Plc
PRSM	Blue Prism Group Plc
PRSR	Prs REIT [The] Plc
PRTC	Puretech Health Plc
PRU	Prudential Plc
PRUS	Powershares Glbal Funds
PRV	Porvair Plc
PSDL	Phoenix Spree Deutschlan
PSH	Pershing Square Holdings Ltd
PSN	Persimmon Plc
PSON	Pearson Plc
PSRE	Powershares Glbal Funds Ireland Plc
PSSL	Pollen Street Secured Lending Plc
PTAL	Petrotal Corporation
PTD	Pittards Plc
PTEC	Playtech Limited
PTR	Petroneft Resources Plc
PTRO	Pelatro Plc
PTY	Parity Group Plc
PUIG	Source Markets II Plc
PUIP	Invesco Markets II Plc
PUR	Pure Wafer Plc
PURE	Purecircle Limited
PURP	Purplebricks Group Plc
PVCS	Pv Crystalox Solar Plc
PVG	Premier Veterinary Group
PVN	Proven Vct Plc
PVR	Providence Resources Plc
PXC	Phoenix Copper Ltd.
PXOG	Prospex Oil and Gas Plc
PXS	Provexis Plc
PYC	Physiomics Plc
PZC	Pz Cussons Plc
QDII1	Ftse/Xinhua Hong Kong IN
QFI	Quadrise Fuels International Plc
QLT	Quilter Plc
QQ	qinetiq group ord gbp0
QQQ3	Boost Issuer Public Limi
QRT	Quarto Group Incorporated
QTX	Quartix Holdings Plc
QUIZ	Quiz Plc
QXT	Quixant Plc
R4E	Reach4Entertainment Ente
RAI	Ra International Group Plc
RAT	Rathbone Brothers Plc
RAV	Raven Property Group Limited
RB	Reckitt Benckiser
RBD	Reabold Resources Plc
RBG	Revolution Bars Group Pl
RBGP	Rosenblatt Group Plc
RBN	Robinson Plc
RBS	Royal Bank of Scotland Group Plc
RBW	Rainbow Rare Earths Limited
RCDO	Ricardo Plc
RCH	Reach Plc
RCN	Redcentric Plc
RCOI	Riverstone Credit Opportunities Income P
RCP	Rit Capital Partners Plc
RDI	Redefine International P.L.C.
RDL	Rdl Realisation Plc
RDSA	Royal Dutch Shell Plc
RDT	Rosslyn Data Technologie
RDW	Redrow Plc
RDXS	Source Markets Public Limited Company
RE	R.e.a. Holdings
RE.B	R.E.A. Holdings Plc
REAT	React Group Plc
REC	Record Plc
RECI	Real Estate Credit Investments Pcc Limit
REDD	Redde Plc
REDX	Redx Pharma Plc
REL	Reed Elsevier Plc
RENE	Reneuron Group Plc
RENX	Renalytix Ai Plc
RESI	Residential Secure Income Plc
RFX	Ramsdens Holdings Plc
RGD	The Real Good Food Company Plc
RGL	Regional REIT Limited
RGM	Regency Mines Plc
RGO	Riverfort Global Opportunities Plc
RGP	Ross Group Plc
RHIM	Rhi Magnesita N.V.
RICA	Ruffer Investment Company Ltd
RICI	RBS Market Access
RICO	Ricoh CO Ltd
